Link,Name,GameText,EffectDetail
https://www.serebii.net/abilitydex/clearbody.shtml,Clear Body,Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.,Opponents’ moves which lower this Pokémon’s stats have no effect. However this Pokémon may lower its own stats with its own moves.
https://www.serebii.net/abilitydex/cloudnine.shtml,Cloud Nine,Eliminates the effects of weather.,All weather effects are negated while the Pokémon is on the field.
https://www.serebii.net/abilitydex/corrosion.shtml,Corrosion,The Pokémon can poison the target even if it's a Steel or Poison type.,null
https://www.serebii.net/abilitydex/moldbreaker.shtml,Mold Breaker,Moves can be used on the target regardless of its Abilities.,The Pokémon's moves are not affected by foe’s abilities during battle
https://www.serebii.net/abilitydex/guts.shtml,Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,"Attack is increased by 50% when induced with a status (BURN, PARALYZE, SLEEP, POISON, FREEZE). Burn’s effect of lowering Attack is not applied."
https://www.serebii.net/abilitydex/skilllink.shtml,Skill Link,Maximizes the number of times multi-strike moves hit.,Moves that attack 2-5 times always hit 5 times.
https://www.serebii.net/abilitydex/stakeout.shtml,Stakeout,Doubles the damage dealt to the target's replacement if the target switches out.,null
https://www.serebii.net/abilitydex/turboblaze.shtml,Turboblaze,Moves can be used on the target regardless of its Abilities.,null
https://www.serebii.net/abilitydex/slowstart.shtml,Slow Start,"For five turns, the Pokémon's Attack and Speed stats are halved.",Attack and Speed is halved during the first five turns since sent out.
https://www.serebii.net/abilitydex/quickfeet.shtml,Quick Feet,Boosts the Speed stat if the Pokémon has a status condition.,"Speed is increased by 50% when induced with a status (Burn, Poison, Sleep, Frozen & Paralysis). If Paralysed, the speed drop is ignored."
https://www.serebii.net/abilitydex/slushrush.shtml,Slush Rush,Boosts the Pokémon's Speed stat in a hailstorm.,Doubles the Pokémon's Speed when Hail is in effect
https://www.serebii.net/abilitydex/shielddust.shtml,Shield Dust,This Pokémon's dust blocks the additional effects of attacks taken.,Damaging moves used by the opponent will not have an additional effect.
https://www.serebii.net/abilitydex/ironfist.shtml,Iron Fist,Powers up punching moves.,The power of punching moves is increased by 20%.
https://www.serebii.net/abilitydex/torrent.shtml,Torrent,Powers up Water-type moves when the Pokémon's HP is low.,"When HP is below 1/3rd its maximum, power of Water-type moves is increased by 50%."
https://www.serebii.net/abilitydex/noguard.shtml,No Guard,The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.,The accuracy of all moves known by this Pokémon and all Pokémon targeting this Pokémon raises to 100%
https://www.serebii.net/abilitydex/battery.shtml,Battery,Powers up ally Pokémon's special moves.Boosts Ally Pokémon's Special Attack by 30%.,null
https://www.serebii.net/abilitydex/tintedlens.shtml,Tinted Lens,The Pokémon can use â€œnot very effectiveâ€ moves to deal regular damage.,The power of “not very effective” moves is doubled.
https://www.serebii.net/abilitydex/propellertail.shtml,Propeller Tail,Ignores the effects of opposing Pokémon's Abilities and moves that draw in moves.,null
https://www.serebii.net/abilitydex/liquidvoice.shtml,Liquid Voice,All sound-based moves become Water-type moves.,null
https://www.serebii.net/abilitydex/serenegrace.shtml,Serene Grace,Boosts the likelihood of additional effects occurring  when attacking.,The chances of a move having a secondary effect is doubled.
https://www.serebii.net/abilitydex/imposter.shtml,Imposter,The Pokémon transforms itself into the Pokémon it's facing.,"When sent into battle, the Pokémon automatically transforms into a random opponent that is on the field."
https://www.serebii.net/abilitydex/transistor.shtml,Transistor,??.,null
https://www.serebii.net/abilitydex/aurabreak.shtml,Aura Break,The effects of â€œAuraâ€ Abilities are reversed to lower the power of affected moves.,null
https://www.serebii.net/abilitydex/baddreams.shtml,Bad Dreams,Reduces the HP of sleeping opposing Pokémon.,null
https://www.serebii.net/abilitydex/defiant.shtml,Defiant,Boosts the Pokémon's Attack stat sharply when its stats are lowered.,Attack is raised by two stages when the Pokémon has its stats lowered. Doesn't work on self inflicted stat drops or drops from allies
https://www.serebii.net/abilitydex/innardsout.shtml,Innards Out,Damages the attacker landing the finishing hit by the amount equal to its last HP.,null
https://www.serebii.net/abilitydex/pressure.shtml,Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.","When this Pokémon is hit by a move, the opponent’s PP lowers by 2 rather than 1."
https://www.serebii.net/abilitydex/multiscale.shtml,Multiscale,Reduces the amount of damage the Pokémon takes when its HP is full.,Reduces damage afflicted to the Pokémon by 50% if at maximum HP
https://www.serebii.net/abilitydex/defeatist.shtml,Defeatist,Halves the Pokémon's Attack and Sp. Atk stats when its HP becomes half or less.,The Pokémon's Attack & Special Attack is halved when its Hit Points are below 50% of maximum
https://www.serebii.net/abilitydex/bigpecks.shtml,Big Pecks,Protects the Pokémon from Defense-lowering effects.,null
https://www.serebii.net/abilitydex/desolateland.shtml,Desolate Land,The Pokémon changes the weather to nullify Water-type attacks.,"Creates the Strong Sun weather. This lasts until the Pokémon exits battle, and renders Water-type moves useless"
https://www.serebii.net/abilitydex/sturdy.shtml,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.","The Pokémon will remain with 1 HP if it was going to be knocked out by a move when at full Hit Points, and it is immune to One Hit KO moves."
https://www.serebii.net/abilitydex/bulletproof.shtml,Bulletproof,Protects the Pokémon from some ball and bomb moves.,null
https://www.serebii.net/abilitydex/immunity.shtml,Immunity,The immune system of the Pokémon prevents it from getting poisoned.,The Pokémon cannot be Poisoned while having this ability.
https://www.serebii.net/abilitydex/gluttony.shtml,Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",The Pokémon will use a berry when its Hit Points are below 50%.
https://www.serebii.net/abilitydex/static.shtml,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.","The opponent has a 30% chance of being induced with PARALYZE when using an attack, that requires physical contact, against this Pokémon."
https://www.serebii.net/abilitydex/marvelscale.shtml,Marvel Scale,The Pokémon's marvelous scales boost the Defense stat if it has a status condition.,"Defense  is increased by 50% when induced with a status (BURN, PARALYZE, SLEEP, POISON, FREEZE)."
https://www.serebii.net/abilitydex/weakarmor.shtml,Weak Armor,Physical attacks to the Pokémon lower its Defense stat but sharply raise its Speed stat.,"When hit by an attack, the Pokémon's Defense is lowered by one stage but Speed is increased by two stages."
https://www.serebii.net/abilitydex/solarpower.shtml,Solar Power,"Boosts the Sp. Atk stat in sunny weather, but HP decreases every turn.","During sunshine, the Pokémon’s Special Attack raises to 1.5 times but HP decreases by 1/8th the maximum HP every turn."
https://www.serebii.net/abilitydex/galewings.shtml,Gale Wings,Gives priority to Flying-type moves when the  Pokémon's HP is full.,All Flying-type moves have their Speed Priority increased by 1 if the Pokémon's Hit Points are at maximum
https://www.serebii.net/abilitydex/magnetpull.shtml,Magnet Pull,Prevents Steel-type Pokémon from escaping using its magnetic force.,"Steel types cannot run nor switch while this Pokémon is in battle. Because the opponent’s switching is blocked, the opponent cannot switch on the turn this Pokémon switches out of battle. The opponent may still switch with Baton Pass."
https://www.serebii.net/abilitydex/anticipation.shtml,Anticipation,The Pokémon can sense an opposing Pokémon's dangerous moves.,Warns when the foe knows 1-hit KO or super-effective moves.
https://www.serebii.net/abilitydex/unnerve.shtml,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,The opponent Pokémon will never use their held Berry while the Pokémon is in battle.
https://www.serebii.net/abilitydex/voltabsorb.shtml,Volt Absorb,"Restores HP if hit by an Electric-type move, instead of taking damage.",The Pokémon heals up to 1/4 of its maximum Hit Points when hit with Electric-type moves.
https://www.serebii.net/abilitydex/honeygather.shtml,Honey Gather,The Pokémon may gather Honey after a battle.,"May pick up a Honey after battle; the higher the level, the higher the chance."
https://www.serebii.net/abilitydex/soul-heart.shtml,Soul-heart,Boosts its Sp. Atk stat every time a Pokémon faints.,null
https://www.serebii.net/abilitydex/pickup.shtml,Pickup,"The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.","Has a 10% chance of finding and holding an item after battle. Will not work if this Pokémon is already holding an item. From Black & White, it allows for the user to pick up the item of its opponent or ally if they used up the item in battle."
https://www.serebii.net/abilitydex/sniper.shtml,Sniper,Powers up moves if they become critical hits when attacking.,Power of critical-hit moves is increased to 225% rather than 150%.
https://www.serebii.net/abilitydex/pickpocket.shtml,Pickpocket,Steals an item from an attacker that made direct contact.,"When a Pokémon makes physical contact with the Pokémon, the item of the opponent is stolen."
https://www.serebii.net/abilitydex/shieldsdown.shtml,Shields Down,"When its HP becomes half or less, the Pokémon's shell breaks and it becomes aggressive.","Changes the Pokémon into its Core form when its Hit Points drop below 50%. Before then, it cannot be affected by Status Conditions such as Burn or Paralysis"
https://www.serebii.net/abilitydex/scrappy.shtml,Scrappy,The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves.,Allows the Pokémon to hit Ghost-type Pokémon with Normal-type and Fighting-type moves. Blocks Intimidate
https://www.serebii.net/abilitydex/dauntlessshield.shtml,Dauntless Shield,Boosts the Pokémon's Defense stat when the Pokémon enters a battle.,null
https://www.serebii.net/abilitydex/technician.shtml,Technician,Powers up the Pokémon's weaker moves.,Moves with a base power of 60 or less are boosted in power by 50%
https://www.serebii.net/abilitydex/lightmetal.shtml,Light Metal,Halves the Pokémon's weight.,null
https://www.serebii.net/abilitydex/zenmode.shtml,Zen Mode,Changes the Pokémon's shape when HP is half or less.,"When Hit Points get to 50% of maximum, the Pokémon changes form. The Pokémon reverts back to its standard form if it loses this ability or returns to over 50% of its Hit Points"
https://www.serebii.net/abilitydex/libero.shtml,Libero,Changes the Pokémon's type to the type of the move it's about to use.,null
https://www.serebii.net/abilitydex/stench.shtml,Stench,"By releasing stench when attacking, this Pokémon may cause the target to flinch.","If the Pokémon uses a move that deals damage on the opponent, there is a chance the opponent flinches"
https://www.serebii.net/abilitydex/battlebond.shtml,Battle Bond,"Defeating an opposing Pokémon strengthens the Pokémon's bond with its Trainer, and it becomes Ash-Greninja. Water Shuriken gets more powerful.",null
https://www.serebii.net/abilitydex/mimicry.shtml,Mimicry,Changes the Pokémon's type depending on the terrain.,"Changes to Electric-type in Electric Terrain, Psychic-type in Psychic Terrain, Grass-type in Grassy Terrain  and Fairy type in Fairy-terrain. The type reverts to normal when the terrain ends."
https://www.serebii.net/abilitydex/deltastream.shtml,Delta Stream,The Pokémon changes the weather to eliminate all of the Flying type's weaknesses.,"Creates the Strong Winds weather. This lasts until the Pokémon exits battle, and weakens moves used on Flying-type Pokémon that would be Super Effective"
https://www.serebii.net/abilitydex/wonderskin.shtml,Wonder Skin,Makes status moves more likely to miss.,Makes non-damaging moves that are targeted at this Pokémon have the accuracy of 50%.
https://www.serebii.net/abilitydex/sandstream.shtml,Sand Stream,The Pokémon summons a sandstorm when it enters a battle.,"Sandstorm blows when the Pokémon enters battle. As of X & Y, this lasts 5 turns."
https://www.serebii.net/abilitydex/damp.shtml,Damp,Prevents the use of explosive moves such as Self-Destruct by dampening its surroundings.,"Explosion, Selfdestruct, Mind Blown & Misty Explosion will not work while the Pokémon is on the field."
https://www.serebii.net/abilitydex/simple.shtml,Simple,The stat changes the Pokémon receives are doubled.,The effectiveness of all stat modifications is doubled.
https://www.serebii.net/abilitydex/protean.shtml,Protean,Changes the Pokémon's type to the type of the move it's about to use.,"Before the Pokémon uses a move, it becomes a pure Pokémon of that type."
https://www.serebii.net/abilitydex/queenlymajesty.shtml,Queenly Majesty,"Its majesty pressures the opposing Pokémon, making it unable to attack using priority moves.",Prevents the opponent from using moves with increased Speed Priority on this Pokémon or its allies.
https://www.serebii.net/abilitydex/comatose.shtml,Comatose,It's always drowsing and will never wake up. It can attack without waking up.,"It acts as if it is affected by the Sleep status condition. All special effects of moves based on the Sleep status condition affect this Pokémon such as Snore & Sleep Talk working from the Pokémon with Comatose and double damage from Hex & Wake-up Slap, Dream Eater & Nightmare and even abilities such as Bad Dreams will activate. This Pokémon can still attack."
https://www.serebii.net/abilitydex/rattled.shtml,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.","Speed is raised by one stage when the Pokémon is hit by a Bug-type, Ghost-type or Dark-type move or is Intimidated"
https://www.serebii.net/abilitydex/aromaveil.shtml,Aroma Veil,Protects itself and its allies from attacks that limit their move choices.,null
https://www.serebii.net/abilitydex/speedboost.shtml,Speed Boost,Its Speed stat is boosted every turn.,Speed increases by one stage at the end of each turn.
https://www.serebii.net/abilitydex/magician.shtml,Magician,The Pokémon steals the held item of a Pokémon it hits with a move.,null
https://www.serebii.net/abilitydex/raindish.shtml,Rain Dish,The Pokémon gradually regains HP in rain.,"If Heavy Rain weather is in effect, recovers 1/16th max Hit Points at the end of the turn."
https://www.serebii.net/abilitydex/grasspelt.shtml,Grass Pelt,Boosts the Pokémon's Defense stat in  Grassy Terrain.,Increases Defense by 50% when battling on Grass or if the move Grassy Terrain is in effect
https://www.serebii.net/abilitydex/truant.shtml,Truant,The Pokémon can't use a move the following turn if it uses one.,"The Pokémon cannot use a move in the turn following one where it used a move, even if that move failed."
https://www.serebii.net/abilitydex/hydration.shtml,Hydration,Heals status conditions if it's raining.,"All status problems: Burn, Paralysis, Sleep, Frozen and Poison, are healed when raining."
https://www.serebii.net/abilitydex/emergencyexit.shtml,Emergency Exit,"The Pokémon, sensing danger, switches out when its HP becomes half or less.","When the Pokémon's Hit Points hit 50% or less, the Pokémon will switch out. Works once per battle. The Pokémon will not switch out if it drops below 50% due to Confusion, Weather, use of Substitute or when the damage inflicted is by a Pokémon with the Sheer Force ability. It will not activate if health is brought back up above 50% due to a hold item"
https://www.serebii.net/abilitydex/oblivious.shtml,Oblivious,"The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts.","The Pokémon cannot be under the Attract condition, Intimidated, or be taunted, while having this ability."
https://www.serebii.net/abilitydex/moxie.shtml,Moxie,"The Pokémon shows moxie, and that boosts the Attack stat after knocking out any Pokémon.",Attack is raised by one stage when the Pokémon knocks out another Pokémon
https://www.serebii.net/abilitydex/grassysurge.shtml,Grassy Surge,Turns the ground into Grassy Terrain when the Pokémon enters a battle.,Activates Grassy Terrain for 5 turns when the Pokémon enters a battle.
https://www.serebii.net/abilitydex/ballfetch.shtml,Ball Fetch,"If the Pokémon is not holding an item, it will fetch the Poké Ball from the first failed throw of the battle.",null
https://www.serebii.net/abilitydex/fluffy.shtml,Fluffy,"Halves the damage taken from moves that make direct contact, but doubles that of Fire-type moves.",null
https://www.serebii.net/abilitydex/regenerator.shtml,Regenerator,Restores a little HP when withdrawn from battle.,"When the Pokémon switches out of battle, up to 33.3% of its maximum Hit Points are restored"
https://www.serebii.net/abilitydex/toughclaws.shtml,Tough Claws,Powers up moves that make direct contact.,Increases the power of moves that make physical contact by 30%
https://www.serebii.net/abilitydex/arenatrap.shtml,Arena Trap,Prevents opposing Pokémon from fleeing.,"The opponent cannot run nor switch. Flying-type Pokémon and Pokémon with the Levitate special ability are unaffected. If this Pokémon switches, the opponent is still trapped for that turn. The opponent may still switch by using Baton Pass."
https://www.serebii.net/abilitydex/heavymetal.shtml,Heavy Metal,Doubles the Pokémon's weight.,null
https://www.serebii.net/abilitydex/schooling.shtml,Schooling,"When it has a lot of HP, the Pokémon forms a powerful school. It stops schooling when its HP is low.","Changes the Pokémon's form when it is Level 20 and has more than 25% Hit Points. When Hit Points drop below 25%, it changes back to Solo Form"
https://www.serebii.net/abilitydex/surgesurfer.shtml,Surge Surfer,Doubles the Pokémon's Speed stat on Electric Terrain.,null
https://www.serebii.net/abilitydex/gooey.shtml,Gooey,Contact with the Pokémon lowers the attacker's Speed stat.,Lowers the opponent's Speed by one stage when it makes physical contact.
https://www.serebii.net/abilitydex/synchronize.shtml,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.","When this Pokémon becomes Poisoned, Paralyzed, or Burned, so does the opponent. However, Fire-type and Water Veil ability Pokémon cannot be Burned, Poison-type and Steel-type and Immunity ability Pokémon cannot be Poisoned, and Limber ability Pokémon cannot be Paralyzed."
https://www.serebii.net/abilitydex/airlock.shtml,Air Lock,Eliminates the effects of weather.,All weather effects are negated while the Pokémon is on the field.
https://www.serebii.net/abilitydex/primordialsea.shtml,Primordial Sea,The Pokémon changes the weather to nullify Fire-type attacks.,"Creates the Heavy Rain weather. This lasts until the Pokémon exits battle, and renders Fire-type moves useless"
https://www.serebii.net/abilitydex/poisonheal.shtml,Poison Heal,"Restores HP if the Pokémon is poisoned, instead of losing HP.",HP is restored by 1/8th the maximum HP every turn while the Pokémon has the Poison condition.
https://www.serebii.net/abilitydex/flamebody.shtml,Flame Body,Contact with the Pokémon may burn the attacker.,"The opponent has a 30% chance of being induced with Burn when using an attack, that requires physical contact, against this Pokémon."
https://www.serebii.net/abilitydex/harvest.shtml,Harvest,May create another Berry after one is used.,"The Pokémon has a 50% chance of restoring a consumed berry. During sunshine, this chance increases to 100%"
https://www.serebii.net/abilitydex/dancer.shtml,Dancer,"When another Pokémon uses a dance move, it can use a dance move following it regardless of its Speed.",null
https://www.serebii.net/abilitydex/receiver.shtml,Receiver,The Pokémon copies the Ability of a defeated ally.,null
https://www.serebii.net/abilitydex/gulpmissile.shtml,Gulp Missile,"When the Pokémon uses Surf or Dive, it will come back with prey. When it takes damage, it will spit out the prey to attack.","When using Surf or Dive, it will change into Gulping Form if it has over 50% max HP or Gorging Form if it has less than 50% max HP. If hit afterwards, form reverts and it shoots out its prey to attack, doing 1/4th of opponent's maximum HP in damage. If the Cramorant was in Gulping Form, the opponent's Defense is lowered 1 stage. If the Cramorant was in Gorging Form, the opponent is paralyzed."
https://www.serebii.net/abilitydex/magicguard.shtml,Magic Guard,The Pokémon only takes damage from attacks.,Prevents all damage except from direct-attack moves.
https://www.serebii.net/abilitydex/toxicboost.shtml,Toxic Boost,Powers up physical attacks when the Pokémon is poisoned.,Attack stat increased by 50% when Poisoned
https://www.serebii.net/abilitydex/frisk.shtml,Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",Reveals the foe’s held item.
https://www.serebii.net/abilitydex/sandrush.shtml,Sand Rush,Boosts the Pokémon's Speed stat in a sandstorm.,Speed is doubled within a sandstorm
https://www.serebii.net/abilitydex/psychicsurge.shtml,Psychic Surge,Turns the ground into Psychic Terrain when the Pokémon enters a battle.,Activates Psychic Terrain for 5 turns when the Pokémon enters a battle.
https://www.serebii.net/abilitydex/refrigerate.shtml,Refrigerate,Normal-type moves become Ice-type moves. The power of those moves is boosted a little.,Increases the power of Normal-type moves by 20%. It then changes those moves to Ice-type.
https://www.serebii.net/abilitydex/blaze.shtml,Blaze,Powers up Fire-type moves when the Pokémon's HP is low.,"When HP is below 1/3rd its maximum, power of Fire-type moves is increased by 50%."
https://www.serebii.net/abilitydex/stormdrain.shtml,Storm Drain,"Draws in all Water-type moves. Instead of being hit  by Water-type moves, it boosts its Sp. Atk.",Water-type moves are drawn to this Pokémon. Water-type moves will do no damage and the Pokémon's SP ATK is raised one stage
https://www.serebii.net/abilitydex/steadfast.shtml,Steadfast,The Pokémon's determination boosts the Speed stat each time the Pokémon flinches.,Speed raises by one level every time the Pokémon flinches.
https://www.serebii.net/abilitydex/disguise.shtml,Disguise,"Once per battle, the shroud that covers the Pokémon can protect it from an attack.","Once per battle, the Pokémon can withstand one damaging attack without receiving any damage. Damage inflicted through entry hazards, weather or status conditions will not break the disguise. Damage from Confusion will break the Disguise.  It causes 1/8th of max Hit Point damage when it breaks"
https://www.serebii.net/abilitydex/waterveil.shtml,Water Veil,"The Pokémon is covered with a water veil, which prevents the Pokémon from getting a burn.",This Pokémon cannot be Burned while having this ability.
https://www.serebii.net/abilitydex/aftermath.shtml,Aftermath,Damages the attacker if it contacts the Pokémon with a finishing hit.,The foe that dealt the final hit loses 1/4 of its maximum HP if the move made physical contact.
https://www.serebii.net/abilitydex/steelworker.shtml,Steelworker,Powers up Steel-type moves.,Increases the power of Steel-type moves used by this Pokémon by 50%
https://www.serebii.net/abilitydex/watercompaction.shtml,Water Compaction,Boosts the Pokémon's Defense stat sharply when hit by a Water-type move.,Increases Defense by 2 stages every time it is hit by a Water-type move
https://www.serebii.net/abilitydex/mirrorarmor.shtml,Mirror Armor,Bounces back only the stat-lowering effects that the Pokémon receives.,null
https://www.serebii.net/abilitydex/wanderingspirit.shtml,Wandering Spirit,The Pokémon exchanges Abilities with a Pokémon that hits it with a move that makes direct contact.,null
https://www.serebii.net/abilitydex/insomnia.shtml,Insomnia,The Pokémon is suffering from insomnia and cannot fall asleep.,The Pokémon cannot be put to Sleep while having this ability.
https://www.serebii.net/abilitydex/fullmetalbody.shtml,Full Metal Body,Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.,null
https://www.serebii.net/abilitydex/angerpoint.shtml,Anger Point,"The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat.",Increases Attack to maximum level upon taking a critical hit.
https://www.serebii.net/abilitydex/overgrow.shtml,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,"When HP is below 1/3rd its maximum, power of Grass-type moves is increased by 50%."
https://www.serebii.net/abilitydex/magicbounce.shtml,Magic Bounce,"Reflects status moves, instead of getting hit by them.",Reflects non-attacking moves used on the Pokémon back to the attacking Pokémon
https://www.serebii.net/abilitydex/electricsurge.shtml,Electric Surge,Turns the ground into Electric Terrain when the Pokémon enters a battle.,Activates Electric Terrain for 5 turns when the Pokémon enters a battle.
https://www.serebii.net/abilitydex/sweetveil.shtml,Sweet Veil,Prevents itself and ally Pokémon from falling asleep.,null
https://www.serebii.net/abilitydex/waterbubble.shtml,Water Bubble,Lowers the power of Fire-type moves done to the Pokémon and prevents the Pokémon from getting a burn.,Decreases Fire-type move power on the Pokémon by 50%. Increases power of Water-type moves used by the Pokémon by 100% before adding STAB. Prevents Burn
https://www.serebii.net/abilitydex/waterabsorb.shtml,Water Absorb,"Restores HP if hit by a Water-type move, instead of taking damage.",The Pokémon heals up to 1/4 of its maximum Hit Points when hit with Water-type moves.
https://www.serebii.net/abilitydex/flareboost.shtml,Flare Boost,Powers up special attacks when the Pokémon is burned.,Special Attack stat increased by 50% when burned
https://www.serebii.net/abilitydex/forecast.shtml,Forecast,"The Pokémon transforms with the weather to change its type to Water, Fire, or Ice.","This Pokémon’ changes its form and type if Harsh Sunlight, Heavy Rain or Hail is in effect."
https://www.serebii.net/abilitydex/illuminate.shtml,Illuminate,Raises the likelihood of meeting wild Pokémon by illuminating the surroundings.,null
https://www.serebii.net/abilitydex/multitype.shtml,Multitype,Changes the Pokémon's type to match the Plate or Z-Crystal it holds.,null
https://www.serebii.net/abilitydex/unaware.shtml,Unaware,"When attacking, the Pokémon ignores the target Pokémon's stat changes.",Foe’s stat modifications are ignored.
https://www.serebii.net/abilitydex/download.shtml,Download,Compares an opposing Pokémon's Defense and Sp. Def stats before raising its own Attack or Sp. Atk statâ€”whichever will be more effective.,Attack is increased when the foe’s Defense is lower than its Special Defense or increases Special Attack when the foe’s Special Defense is lower than its Defense.
https://www.serebii.net/abilitydex/fairyaura.shtml,Fairy Aura,Powers up each Pokémon's Fairy-type moves.,Powers up every Pokémon in play's Fairy-type moves by 33.3%
https://www.serebii.net/abilitydex/perishbody.shtml,Perish Body,"When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle.",null
https://www.serebii.net/abilitydex/ripen.shtml,Ripen,Ripens Berries and doubles their effect.,null
https://www.serebii.net/abilitydex/adaptability.shtml,Adaptability,Powers up moves of the same type as the Pokémon.,Increases the Same Type Attack Bonus from *1.5 to *2.
https://www.serebii.net/abilitydex/stalwart.shtml,Stalwart,Ignores the effects of opposing Pokémon's Abilities and moves that draw in moves.,null
https://www.serebii.net/abilitydex/sheerforce.shtml,Sheer Force,Removes additional effects to increase the power of moves when attacking.,Moves with a secondary effect are increased in power by 30% but lose their secondary effect
